store_id,store_no,store_name_hrv,store_acronym,store_name,wholesale,warehouse,store_group,store_format,store_level,store_segment,opening_date,closed_date,status,phone,mail,store_asm,store_manager,store_area,number_of_staff,address1,address2,ward,district,province,country,channel
350016,VN02374120049,BÌNH DƯƠNG,BD,BÌNH DƯƠNG,NULL,NULL,Nhượng quyền,Phố,B,Mass,2020-03-27,NULL,Active,0274 3848 859,binhduong.yersin@coupletx.com,Ms. YẾN,TRƯƠNG THỊ KIM HƯƠNG,165,4,65A Yersin,Quận Tân Bình,Phường Phú Cường,Thành phố Thủ Dầu Một,Bình Dương,Vietnam,Retail
350018,VN02374214008,AEON BÌNH DƯƠNG,AEON BD,AEON BÌNH DƯƠNG,NULL,NULL,Trực thuộc,Mall,A,Mainstream,2014-11-01,NULL,Active,0274 3769 816,hcm.aeonbd@coupletx.com,Mr. LIÊM,"PHẠM THỊ THANH PHÙNG ",91,6,"Aeon Mall, Số 1 Đại Lộ Bình Dương",Quận Tân Bình,Phường Thuận Giao,Thành phố Thuận An,Bình Dương,Vietnam,Retail
350026,VN02266120010,BUÔN MA THUỘT,BMT,BUÔN MA THUỘT,NULL,NULL,Nhượng quyền,Phố,B,Mass,2020-07-07,NULL,Active,09 3333 4003,bmt.store@coupletx.com,Ms. HIỆP,BÙI THỊ NGÂN,70,3,80 Phan Chu Trinh,Quận Tân Bình,Phường Thắng Lợi,Thành phố Buôn Mê Thuột,Đắk Lắk,Vietnam,Retail
350028,VN02392115009,CẦN THƠ,CT,CẦN THƠ,NULL,NULL,Nhượng quyền,Phố,C,Mass,2015-03-29,NULL,Active,0292 381 9514,cantho.nguyentrai@coupletx.com,Mr. LIÊM,NGUYỄN THỊ THÚY AN,52,3,"53 Nguyễn Trãi, Phường An Hội",Quận Tân Bình,Phường An Hội,Quận Ninh Kiều,Cần Thơ,Vietnam,Retail
350040,VN02248218035,VINCOM ĐÀ NẴNG,VC ĐN,VINCOM ĐÀ NẴNG,NULL,NULL,Trực thuộc,Mall,A,Mainstream,2018-02-11,NULL,Active,0236 3981 456,danang.vincomdn@gmail.com,Ms. CHO,ĐỖ KHÁNH HỘI,112,6,"L2-06 Vincom, 910A Ngô Quyền, Phường An Hải Bắc",Quận Tân Bình,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Vietnam,Retail
350046,VN02248118037,LÊ DUẨN ĐÀ NẴNG,LD,LÊ DUẨN ĐÀ NẴNG,NULL,NULL,Trực thuộc,Mall,C,Mass,2018-11-06,NULL,Active,0236 3751 577,danang.leduan@coupletx.com,Ms. CHO,ĐỖ KHÁNH HÒA,55.12,5,"454 Lê Duẩn, Phường Chính Gián",Quận Tân Bình,Phường Chính Gián,Quận Thanh Khê,Đà Nẵng,Vietnam,Retail
350054,VN02380117016,LONG AN,LA,LONG AN,NULL,NULL,Nhượng quyền,Phố,B,Mass,2017-04-28,NULL,Active,0272 3811 885,longan.haunghia@coupletx.com,Mr. SANG,TRẦN PHƯỢNG NGÂN,35,3,"16/27 Nguyễn Trung Trực, Ô 3 Khu A, Thị trấn Hậu Nghĩa",Quận Tân Bình,Thị trấn Hậu Nghĩa,Huyện Đức Hòa,Long An,Vietnam,Retail
350056,VN02391118025,RẠCH GIÁ,RG,RẠCH GIÁ,NULL,NULL,Trực thuộc,Phố,C,Mass,2018-04-14,NULL,Active,0297 3877 567,rachgia.nguyentrungtruc@coupletx.com,Mr. LIÊM,TRẦN THỊ MỸ TUYÊN,64,4,143 Nguyễn Trung Trực,Quận Tân Bình,Phường Vĩnh Bảo,Thành phố Rạch Giá,Kiên Giang,Vietnam,Retail
350058,VN02379218087,VINCOM RẠCH GIÁ (CLOSED),NULL,VINCOM RẠCH GIÁ (CLOSED),NULL,NULL,Trực thuộc,Mall,NULL,NULL,NULL,NULL,Inactive,029773900911,vincomrachgia.store@coupletx.com,NULL,NULL,NULL,NULL,"Vincom, Lô A12 Cô Bắc, Phường Vĩnh Bảo",Quận Tân Bình,NULL,Thành phố Rạch Giá,Kiên Giang,Vietnam,Retail
350060,VN02377114006,VŨNG TÀU,VT,VŨNG TÀU,NULL,NULL,Nhượng quyền,Phố,A,Mainstream,2014,NULL,Active,0966 208 218,bacu.vungtau@coupletx.com,Ms. HIỆP,"LÊ THỊ HIỆP ",160,4,"218 Ba Cu, Phường 3",Quận Tân Bình,Phường 3,Thành phố Vũng Tàu,Bà Rịa - Vũng Tàu,Vietnam,Retail
350270,VN02379218088,BIGC AN LẠC (CLOSED),NULL,BIGC AN LẠC (CLOSED),NULL,NULL,Trực thuộc,Mall,NULL,NULL,NULL,NULL,Inactive,01289893470,bigcanlac@coupletx.com,NULL,NULL,NULL,NULL,"BigC An Lạc, Quốc Lộ 1A, Phường Bình Trị Đông B",NULL,NULL,Quận Bình Tân,Hồ Chí Minh,Vietnam,Retail
350444,VN02389117017,LONG XUYÊN (CLOSED),LX,LONG XUYÊN (CLOSED),NULL,NULL,Nhượng quyền,Phố,C,Mass,2017-04-26,NULL,Inactive,029 6626 3777,longxuyen.tranhungdao@coupletx.com,Ms. HIỆP,BÙI THỊ NGỌC YẾN,60,2,"1292 Trần Hưng Đạo, Phường Mỹ Xuyên",NULL,NULL,Thành Phố Long Xuyên,An Giang,Vietnam,Retail
350648,VN02244118089,QUẢNG BÌNH (CLOSED),NULL,QUẢNG BÌNH (CLOSED),NULL,NULL,Nhượng quyền,Phố,NULL,NULL,NULL,NULL,Inactive,0915996768,duckhanh@coupletx.com,NULL,NULL,NULL,NULL,72 Trần Hưng Đạo,NULL,NULL,Thành phố Đồng Hới,Quảng Bình,Vietnam,Retail
354468,VN02372117020,TÂY NINH,TN,TÂY NINH,NULL,NULL,Nhượng quyền,Phố,C,Mass,2017-08-20,NULL,Active,027 6650 9779,tayninh.hungvuong@coupletx.com,Mr. SANG,TÔ HỒNG YẾN,120,2,"221 Hùng Vương, Khu phố 4, Thị trấn Hoà Thành, Tây Ninh",NULL,Thị trấn Hòa Thành,Huyện Hòa Thành,Tây Ninh,Vietnam,Retail
365400,VN02379317053,KHO MARKETING,NULL,KHO MARKETING,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,0968999063,cskh@coupletx.com,NULL,NULL,NULL,NULL,"Pico Plaza, 20 Cộng Hòa",NULL,Phường 12,Quận Tân Bình,Hồ Chí Minh,Vietnam,Warehouse
369890,VN02379317054,KHO SỈ PHÚC,NULL,KHO SỈ PHÚC,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,0913422010,phucngo@coupletx.com,NULL,NULL,NULL,NULL,"Pico Plaza, 20 Cộng Hòa",NULL,Phường 12,Quận Tân Bình,Hồ Chí Minh,Vietnam,BD
369896,VN02379317055,KHO SỈ LAI,NULL,KHO SỈ LAI,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,0918432010,laitran@coupletx.com,NULL,NULL,NULL,NULL,"Tòa nhà Pico, 20 Cộng Hòa",NULL,Phường 12,Quận Tân Bình,Hồ Chí Minh,Vietnam,BD
370346,VN02379317056,KHO NHÂN SỰ,NULL,KHO NHÂN SỰ,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,0984322149,trangntk@coupletx.com,NULL,NULL,NULL,NULL,"Tòa nhà Pico, Số 20 Cộng Hòa",NULL,Phường 12,Quận Tân Bình,Hồ Chí Minh,Vietnam,Warehouse
373776,VN02379317057,KHO HÀNG SỬA,NULL,KHO HÀNG SỬA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,1234567890,abc@123.com,NULL,NULL,NULL,NULL,"25 Lô 3, Đường 19/5A, KCN Tân Bình",NULL,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,Vietnam,Warehouse
374428,VN02379317058,KHO HÀNG B,NULL,KHO HÀNG B,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,1234567890,abc@123.com,NULL,NULL,NULL,NULL,"25 Lô 3, Đường 19/5A, KCN Tân Bình",NULL,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,Vietnam,Warehouse
374926,VN02379317059,KHO BẢO VỆ,NULL,KHO BẢO VỆ,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,0123456789,chanhnguyen@coupletx.com,NULL,NULL,NULL,NULL,20 Cộng Hòa,NULL,Phường 12,Quận Tân Bình,Hồ Chí Minh,Vietnam,Warehouse
375688,VN02379317060,KHO STUDIO,NULL,KHO STUDIO,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,1234567890,abc@123.com,NULL,NULL,NULL,NULL,128 Nguyễn Trãi,NULL,Phường 08,Quận 5,Hồ Chí Minh,Vietnam,Warehouse
387240,VN02256117021,NHA TRANG,NT,NHA TRANG,NULL,NULL,Nhượng quyền,Phố,C,Mass,2017-11-16,NULL,Active,0258 629 5588,nhatrang.quangtrung@coupletx.com,Ms. CHO,TRẦN THỊ THU HIỀN,80,4,"58 Quang Trung, Vạn Thạnh, Nha Trang",NULL,Phường Vạn Thạnh,Thành phố Nha Trang,Khánh Hòa,Vietnam,Retail
395144,VN02246117022,HUẾ (CLOSED),HUE,HUẾ (CLOSED),NULL,NULL,Nhượng quyền,Phố,C,Mass,2017-12-08,2020-10-30,Inactive,0234 651 8884,hue.truongchinh@coupletx.com,Ms. CHO,TRẦN THỊ BÍCH THÙY,64,3,28C Trường Chinh,NULL,Phường Xuân Phú,Thành phố Huế,Thừa Thiên Huế,Vietnam,Retail
412585,VN02251117023,QUẢNG NGÃI,QN,QUẢNG NGÃI,NULL,NULL,Nhượng quyền,Phố,C,Mass,2017-12-23,NULL,Active,0255 650 3939,Quangngai.tranhungdao@coupletx.com,Ms. CHO,NGUYỄN TRỊNH VỸ,100,3,45 Trần Hưng Đạo,NULL,Phường Nguyễn Nghiêm,Thành phố Quảng Ngãi,Quảng Ngãi,Vietnam,Retail
413854,VN02379317061,KHO HÀNG PHẾ,NULL,KHO HÀNG PHẾ,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,0123456789,acb@gmail.com,NULL,NULL,NULL,NULL,"25 Lô 3, Đường 19/5A, KCN Tân Bình",NULL,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,Vietnam,Warehouse
441997,VN02374118032,DĨ AN,DA-BD,DĨ AN,NULL,NULL,Nhượng quyền,Phố,C,Mass,2018-07-03,NULL,Active,0274 650 6555,dian.nguyenanninh@coupletx.com,Mr. LIÊM,TRỊNH THỊ NGỌC TRINH,125,3,12C Nguyễn An Ninh,NULL,Phường Dĩ An,Thành phố Dĩ An,Bình Dương,Vietnam,Retail
451647,VN02379318078,KHO ONLINE,NULL,KHO ONLINE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Active,0982747177,sale.online@coupletx.com,NULL,NULL,NULL,NULL,"Lô III 25 Đường 19/5A, Nhóm CN III, KCN Tân Bình",NULL,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,Vietnam,Online
452387,VN02379118024,QUANG TRUNG 3,QT3,QUANG TRUNG 3,NULL,NULL,Trực thuộc,Phố,B,Mass,31/03/18,NULL,Active,02866602710,quangtrung3.store@coupletx.com,Ms. YẾN,TRẦN THỊ TRÚC MY (CHP),159,5,150 Quang Trung,NULL,Phường 10,Quận Gò Vấp,Hồ Chí Minh,Vietnam,Retail
461343,VN02264118026,PLEIKU (CLOSED),NULL,PLEIKU (CLOSED),NULL,NULL,Nhượng quyền,Phố,NULL,NULL,NULL,NULL,Inactive,02693600464,pleiku.store@coupletx.com,NULL,NULL,NULL,NULL,76B Phan Bội Châu,NULL,Phường Hội Thương,Thành phố Pleiku,Gia Lai,Vietnam,Online
461349,VN02379118036,NGUYỄN THỊ TÚ,NTTU,NGUYỄN THỊ TÚ,NULL,NULL,Trực thuộc,Phố,C,Mass,2018-11-05,NULL,Active,028 7306 6562,hcm.nguyenthitu@coupletx.com,Ms. YẾN,NGUYỄN THỊ PHƯƠNG HÀ,170,4,137 Nguyễn Thị Tú,NULL,Phường Bình Hưng Hoà B,Quận Bình Tân,Hồ Chí Minh,Vietnam,Retail
464495,VN02254118030,TUY HÒA,TH,TUY HÒA,NULL,NULL,Nhượng quyền,Phố,C,Mass,2018-05-16,NULL,Active,0573 666 766,tuyhoa.tranhungdao@coupletx.com,Ms. CHO,ĐẶNG THỊ THANH NGÂN,90,4,281 Trần Hưng Đạo,NULL,Phường 6,Thành phố Tuy Hòa,Phú Yên,Vietnam,Retail
465987,VN02379318062,KHO KỸ THUẬT,NULL,KHO KỸ THUẬT,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,0123456789,technical@couplegroup.com,NULL,NULL,NULL,NULL,20 Cộng Hoà,NULL,Phường 12,Quận Tân Bình,Hồ Chí Minh,Vietnam,Warehouse
465989,VN02379318063,KHO KẾ TOÁN,NULL,KHO KẾ TOÁN,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,0123456789,lancao@coupletx.com,NULL,NULL,NULL,NULL,20 Cộng Hoà,NULL,Phường 12,Quận Tân Bình,Hồ Chí Minh,Vietnam,Warehouse
465995,VN02379318064,KHO SẢN XUẤT,NULL,KHO SẢN XUẤT,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,Active,0123456789,hongtran@coupletx.com,NULL,NULL,NULL,NULL,20 Cộng Hoà,NULL,Phường 12,Quận Tân Bình,Hồ Chí Minh,Vietnam,Warehouse
471477,VN02382118029,MỸ THO,MT-TG,MỸ THO,NULL,NULL,Nhượng quyền,Phố,B,Mass,2018-05-05,NULL,Active,09 3333 4500,mytho.apbac@coupletx.com,Ms. HIỆP,NGUYỄN THỊ HIẾU THẢO,103,3,186 Ấp Bắc,NULL,Phường 5,Thành phố Mỹ Tho,Tiền Giang,Vietnam,Retail
476061,VN02101118031,CẦU GIẤY,CG-HN,CẦU GIẤY,NULL,NULL,Trực thuộc,Phố,C,Mass,2018-06-01,NULL,Active,024 3203 7111, hn.caugiay@coupletx.com,Mr. PHÁT,TRẦN THỊ NHUNG,130,5,93 Cầu Giấy,NULL,Phường Quan Hoa,Quận Cầu Giấy,Hà Nội,Vietnam,Retail
