,store_id,store_no,store_name_hrv,store_acronym,store_name,wholesale,warehouse,store_group,store_format,store_level,store_segment,opening_date,closed_date,status,phone,mail,store_asm,store_manager,store_area,number_of_staff,address1,address2,ward,district,province,country,channel
48,350054,VN02380117016,LONG AN,LA,LONG AN,,,Nhượng quyền,Phố,B,Mass,2017-04-28,,Active,0272 3811 885,longan.haunghia@coupletx.com,Mr. SANG,TRẦN PHƯỢNG NGÂN,35.0,3.0,"16/27 Nguyễn Trung Trực, Ô 3 Khu A, Thị trấn Hậu Nghĩa",Quận Tân Bình,Thị trấn Hậu Nghĩa,Huyện Đức Hòa,Long An,Vietnam,Retail
103,715679,VN02383219044,SENSECITY BẾN TRE,SC-BT,SENSECITY BẾN TRE,,,Trực thuộc,Mall,B,Mass,2019-08-11,,Active,0854 293 595,bentre.sense@coupletx.com,Mr. LIÊM,NGUYỄN KIM NGÂN,81.0,4.0,26A Trần Quốc Tuấn,,Phường 4,Thành phố Bến Tre,Bến Tre,Vietnam,Retail
44,350026,VN02266120010,BUÔN MA THUỘT,BMT,BUÔN MA THUỘT,,,Nhượng quyền,Phố,B,Mass,2020-07-07,,Active,09 3333 4003,bmt.store@coupletx.com,Ms. HIỆP,BÙI THỊ NGÂN,70.0,3.0,80 Phan Chu Trinh,Quận Tân Bình,Phường Thắng Lợi,Thành phố Buôn Mê Thuột,Đắk Lắk,Vietnam,Retail
42,350016,VN02374120049,BÌNH DƯƠNG,BD,BÌNH DƯƠNG,,,Nhượng quyền,Phố,B,Mass,2020-03-27,,Active,0274 3848 859,binhduong.yersin@coupletx.com,Ms. YẾN,TRƯƠNG THỊ KIM HƯƠNG,165.0,4.0,65A Yersin,Quận Tân Bình,Phường Phú Cường,Thành phố Thủ Dầu Một,Bình Dương,Vietnam,Retail
41,349998,VN02375118027,BIÊN HÒA,BH,BIÊN HÒA,,,Nhượng quyền,Phố,B,Mainstream,2018-04-24,,Active,0251 3822 925,bienhoa.phamvanthuan@coupletx.com,Mr. LIÊM,NGUYỄN THỊ NGỌC DIỄM,90.0,4.0,264 Phạm Văn Thuận,Quận Tân Bình,Phường Thống Nhất,Thành phố Biên Hòa,Đồng Nai,Vietnam,Retail
35,349972,VN02379114007,QUANG TRUNG 2,QT2,QUANG TRUNG 2,,,Trực thuộc,Phố,B,Mainstream,2014-05-01,,Active,028 6660 9399,hcm.quangtrung2@coupletx.com,Mr. NAM,TRẦN THỊ KIM NGÂN,120.0,5.0,"437 Quang Trung, Phường 10",,Phường 10,Quận Gò Vấp,Hồ Chí Minh,Vietnam,Retail
30,349952,VN02379116014,HẬU GIANG,HG,HẬU GIANG,,,Trực thuộc,Phố,B,Mass,2016-10-11,,Active,028 3960 2234,hcm.haugiang@coupletx.com,Mr. NAM,HỒ NGỌC THỦY,110.0,4.0,"194 Hậu Giang, Phường 6",,Phường 06,Quận 6,Hồ Chí Minh,Vietnam,Retail
21,307248,VN02379113005,HÓC MÔN,HM,HÓC MÔN,,,Trực thuộc,Phố,B,Mass,2013-11-07,,Active,028 6652 6566,hcm.nguyenanhthu@coupleTX.com,Mr. NAM,NGUYỄN THỊ DUNG,78.0,4.0,"10/1 Nguyễn Ảnh Thủ, Xã Trung Chánh",,Xã Trung Chánh,Huyện Hóc Môn,Hồ Chí Minh,Vietnam,Retail
84,536898,VN02396119047,CÀ MAU,CM,CÀ MAU,,,Nhượng quyền,Phố,C,Mass,2019-12-11,,Active,0933334600,camau.tranhungdao@coupletx.com,Ms. HIỆP,LÊ NGỌC NI,150.0,4.0,61 Trần Hưng Đạo,,Phường 5,Thành phố Cà Mau,Cà Mau,Vietnam,Retail
33,349962,VN02379216011,VINCOM Q9,VC LVV,VINCOM Q9,,,Trực thuộc,Mall,C,Mass,2016-03-26,,Active,028 3720 4569,hcm.vincomq9@coupletx.com,Mr. SANG,NGUYỄN THẢO NHI (CHP),90.0,4.0,"L2-02 Vincom, Số 50 Lê Văn Việt, Phường Hiệp Phú",,Phường Hiệp Phú,Quận 9,Hồ Chí Minh,Vietnam,Retail
89,566792,VN02101218040,AEON LONG BIÊN,AEON LB,AEON LONG BIÊN,,,Trực thuộc,Mall,C,Mainstream,2018-12-16,,Active,024 6662 9929,hn.aeonlb@coupletx.com,Mr. PHÁT,HOÀNG THỊ THANH TRANG,140.0,5.0,"Gian hàng: T2-17, TTTM Aeon Long Biên, 27 Cổ Linh",,Phường Long Biên,Quận Long Biên,Hà Nội,Vietnam,Retail
90,566796,VN02101118039,CHÙA BỘC (CLOSED),CB,CHÙA BỘC (CLOSED),,,Trực thuộc,Phố,C,Mass,2018-12-14,,Inactive,024 3207 9000,hn.chuaboc@coupletx.com,Mr. THỊNH,TRIỆU THỊ MỸ LINH,90.0,5.0,19 Chùa Bộc,,Phường Kim Liên,Quận Đống Đa,Hà Nội,Vietnam,Retail
92,596511,VN02379119042,LÊ VĂN KHƯƠNG,LVK,LÊ VĂN KHƯƠNG,,,Trực thuộc,Phố,C,Mass,2019-04-04,,Active,028 6660 9499,hcm.levankhuong@coupletx.com,Mr. NAM,LÊ PHƯƠNG UYÊN (CHP),325.0,4.0,326 Lê Văn Khương,,Phường Thới An,Quận 12,Hồ Chí Minh,Vietnam,Retail
102,715673,VN02101219046,AEON HÀ ĐÔNG,AEON HĐ,AEON HÀ ĐÔNG,,,Trực thuộc,Mall,C,Mass,2019-12-05,,Active,028 7306 6562,hn.aeonhd@coupletx.com,Mr. PHÁT,NGUYỄN THỊ PHƯƠNG HOA,115.0,5.0,Dương Nội,,Phường Dương Nội,Quận Hà Đông,Hà Nội,Vietnam,Retail
85,536902,VN02252118038,QUY NHƠN,QNH,QUY NHƠN,,,Nhượng quyền,Phố,C,Mass,2018-11-16,,Active,0256 3816 779,quynhon.tangbatho@coupletx.com,Ms. CHO,ĐẶNG THỊ NGỌC HƯỜNG,115.0,4.0,135 Tăng Bạt Hổ,,Phường Lê Lợi,Thành phố Quy Nhơn,Bình Định,Vietnam,Retail
97,687776,VN02387219045,VINCOM CAO LÃNH,VC CL,VINCOM CAO LÃNH,,,Trực thuộc,Mall,C,Mass,2019-10-05,,Active,028 7306 6562,dongthap.vincomcl@coupletx.com,Mr. LIÊM,CAO THỊ NHỊN,133.0,5.0,30 tháng 4,,Phường 1,Thành phố Cao Lãnh,Đồng Tháp,Vietnam,Retail
68,441997,VN02374118032,DĨ AN,DA-BD,DĨ AN,,,Nhượng quyền,Phố,C,Mass,2018-07-03,,Active,0274 650 6555,dian.nguyenanninh@coupletx.com,Mr. LIÊM,TRỊNH THỊ NGỌC TRINH,125.0,3.0,12C Nguyễn An Ninh,,Phường Dĩ An,Thành phố Dĩ An,Bình Dương,Vietnam,Retail
73,464495,VN02254118030,TUY HÒA,TH,TUY HÒA,,,Nhượng quyền,Phố,C,Mass,2018-05-16,,Active,0573 666 766,tuyhoa.tranhungdao@coupletx.com,Ms. CHO,ĐẶNG THỊ THANH NGÂN,90.0,4.0,281 Trần Hưng Đạo,,Phường 6,Thành phố Tuy Hòa,Phú Yên,Vietnam,Retail
72,461349,VN02379118036,NGUYỄN THỊ TÚ,NTTU,NGUYỄN THỊ TÚ,,,Trực thuộc,Phố,C,Mass,2018-11-05,,Active,028 7306 6562,hcm.nguyenthitu@coupletx.com,Ms. YẾN,NGUYỄN THỊ PHƯƠNG HÀ,170.0,4.0,137 Nguyễn Thị Tú,,Phường Bình Hưng Hoà B,Quận Bình Tân,Hồ Chí Minh,Vietnam,Retail
66,412585,VN02251117023,QUẢNG NGÃI,QN,QUẢNG NGÃI,,,Nhượng quyền,Phố,C,Mass,2017-12-23,,Active,0255 650 3939,Quangngai.tranhungdao@coupletx.com,Ms. CHO,NGUYỄN TRỊNH VỸ,100.0,3.0,45 Trần Hưng Đạo,,Phường Nguyễn Nghiêm,Thành phố Quảng Ngãi,Quảng Ngãi,Vietnam,Retail
65,395144,VN02246117022,HUẾ (CLOSED),HUE,HUẾ (CLOSED),,,Nhượng quyền,Phố,C,Mass,2017-12-08,2020-10-30,Inactive,0234 651 8884,hue.truongchinh@coupletx.com,Ms. CHO,TRẦN THỊ BÍCH THÙY,64.0,3.0,28C Trường Chinh,,Phường Xuân Phú,Thành phố Huế,Thừa Thiên Huế,Vietnam,Retail
64,387240,VN02256117021,NHA TRANG,NT,NHA TRANG,,,Nhượng quyền,Phố,C,Mass,2017-11-16,,Active,0258 629 5588,nhatrang.quangtrung@coupletx.com,Ms. CHO,TRẦN THỊ THU HIỀN,80.0,4.0,"58 Quang Trung, Vạn Thạnh, Nha Trang",,Phường Vạn Thạnh,Thành phố Nha Trang,Khánh Hòa,Vietnam,Retail
55,354468,VN02372117020,TÂY NINH,TN,TÂY NINH,,,Nhượng quyền,Phố,C,Mass,2017-08-20,,Active,027 6650 9779,tayninh.hungvuong@coupletx.com,Mr. SANG,TÔ HỒNG YẾN,120.0,2.0,"221 Hùng Vương, Khu phố 4, Thị trấn Hoà Thành, Tây Ninh",,Thị trấn Hòa Thành,Huyện Hòa Thành,Tây Ninh,Vietnam,Retail
108,754112,VN02262219048,VINCOM KON TUM (CLOSED),VC KT,VINCOM KON TUM,,,Trực thuộc,Mall,C,Mass,2019-12-24,,Active,028 7300 2515,kontum.vincomkt@coupletx.com,Ms. CHO,TRẦN NHẬT KỲ,115.0,5.0,02 Phan Đình Phùng,,Phường Quyết Thắng,Thành phố Kon Tum,Kon Tum,Vietnam,Retail
49,350056,VN02391118025,RẠCH GIÁ,RG,RẠCH GIÁ,,,Trực thuộc,Phố,C,Mass,2018-04-14,,Active,0297 3877 567,rachgia.nguyentrungtruc@coupletx.com,Mr. LIÊM,TRẦN THỊ MỸ TUYÊN,64.0,4.0,143 Nguyễn Trung Trực,Quận Tân Bình,Phường Vĩnh Bảo,Thành phố Rạch Giá,Kiên Giang,Vietnam,Retail
47,350046,VN02248118037,LÊ DUẨN ĐÀ NẴNG,LD,LÊ DUẨN ĐÀ NẴNG,,,Trực thuộc,Mall,C,Mass,2018-11-06,,Active,0236 3751 577,danang.leduan@coupletx.com,Ms. CHO,ĐỖ KHÁNH HÒA,55.12,5.0,"454 Lê Duẩn, Phường Chính Gián",Quận Tân Bình,Phường Chính Gián,Quận Thanh Khê,Đà Nẵng,Vietnam,Retail
45,350028,VN02392115009,CẦN THƠ,CT,CẦN THƠ,,,Nhượng quyền,Phố,C,Mass,2015-03-29,,Active,0292 381 9514,cantho.nguyentrai@coupletx.com,Mr. LIÊM,NGUYỄN THỊ THÚY AN,52.0,3.0,"53 Nguyễn Trãi, Phường An Hội",Quận Tân Bình,Phường An Hội,Quận Ninh Kiều,Cần Thơ,Vietnam,Retail
36,349978,VN02379116012,XÔ VIẾT NGHỆ TĨNH,XVNT,XÔ VIẾT NGHỆ TĨNH,,,Trực thuộc,Phố,C,Mass,2016-05-30,,Active,028 6294 9921,hcm.xvnt@coupletx.com,Mr. NAM,NGUYỄN THỊ THANH THỦY (CHP),56.0,4.0,243 Xô Viết Nghệ Tĩnh,,Phường 17,Quận Bình Thạnh,Hồ Chí Minh,Vietnam,Retail
78,476061,VN02101118031,CẦU GIẤY,CG-HN,CẦU GIẤY,,,Trực thuộc,Phố,C,Mass,2018-06-01,,Active,024 3203 7111, hn.caugiay@coupletx.com,Mr. PHÁT,TRẦN THỊ NHUNG,130.0,5.0,93 Cầu Giấy,,Phường Quan Hoa,Quận Cầu Giấy,Hà Nội,Vietnam,Retail
53,350444,VN02389117017,LONG XUYÊN (CLOSED),LX,LONG XUYÊN (CLOSED),,,Nhượng quyền,Phố,C,Mass,2017-04-26,,Inactive,029 6626 3777,longxuyen.tranhungdao@coupletx.com,Ms. HIỆP,BÙI THỊ NGỌC YẾN,60.0,2.0,"1292 Trần Hưng Đạo, Phường Mỹ Xuyên",,,Thành Phố Long Xuyên,An Giang,Vietnam,Retail
